order_id;material_type;quantity;supplier_location;destination_location;order_date;weather_conditions;holiday_season;distance_km;transport_mode;route_type;delivery_time_days
1;Fertigprodukte;839;Mannheim;Leipzig;2023-06-20;Klar;FALSE;344.98;Schiene;domestic_germany;3.0
2;Elektronik;782;Paris;Mülheim an der Ruhr;2023-05-14;Regnerisch;FALSE;431.5;Straße;intra_european;4.6
3;Bauteile;52;Oberhausen;Erfurt;2023-12-23;Sturm;FALSE;294.96;Straße;domestic_germany;2.4
4;Rohstoffe;650;Gelsenkirchen;Mainz;2023-09-26;Nebel;FALSE;187.69;Straße;domestic_germany;5.7
5;Rohstoffe;839;Mönchengladbach;Nürnberg;2023-11-26;Regnerisch;FALSE;382.03;Luft;domestic_germany;4.4
6;Elektronik;561;Magdeburg;Bielefeld;2023-01-22;Schnee;FALSE;211.67;Straße;domestic_germany;7.4
7;Bauteile;649;Marseille;Hagen;2023-04-30;Schnee;FALSE;910.28;Luft;intra_european;7.3
8;Bauteile;949;Hagen;Nürnberg;2023-03-11;Klar;FALSE;332.1;Schiene;domestic_germany;3.0
9;Fertigprodukte;46;Erfurt;Lyon;2023-02-10;Nebel;FALSE;738.05;Schiene;intra_european;8.5
10;Bauteile;271;Leipzig;Hamm;2023-09-25;Nebel;FALSE;317.5;Straße;domestic_germany;2.0
11;Rohstoffe;949;Mumbai;Miami;2023-12-07;Nebel;FALSE;14242.2;See;intercontinental;221.0
12;Bauteile;123;Düsseldorf;Beijing;2023-09-16;Nebel;FALSE;7805.95;Luft;intercontinental;30.1
13;Rohstoffe;272;München;Rio de Janeiro;2023-11-07;Regnerisch;FALSE;9593.87;Luft;intercontinental;31.8
14;Chemikalien;799;Tokyo;Aachen;2023-05-06;Nebel;FALSE;9383.75;Luft;intercontinental;37.3
15;Elektronik;273;Rostock;Kassel;2023-04-03;Nebel;FALSE;356.14;Luft;domestic_germany;7.2
16;Fertigprodukte;987;Bielefeld;Frankfurt;2023-05-06;Sturm;FALSE;212.65;Straße;domestic_germany;5.8
17;Chemikalien;136;Miami;Halle (Saale);2023-04-05;Regnerisch;FALSE;7939.62;Luft;intercontinental;28.4
18;Rohstoffe;427;Aachen;Stuttgart;2023-09-28;Nebel;FALSE;314.52;Luft;domestic_germany;1.0
19;Bauteile;427;Guangzhou;Oberhausen;2023-01-09;Sturm;FALSE;9076.58;Luft;intercontinental;36.5
20;Fertigprodukte;601;Köln;Chicago;2023-10-28;Sturm;FALSE;6812.24;Luft;intercontinental;32.4
21;Fertigprodukte;609;Saarbrücken;Miami;2023-06-19;Schnee;FALSE;7675.04;Luft;intercontinental;38.5
22;Chemikalien;728;Saarbrücken;Miami;2023-12-05;Schnee;FALSE;7675.04;Luft;intercontinental;33.8
23;Bauteile;606;Hannover;Karlsruhe;2023-01-20;Nebel;FALSE;386.11;Schiene;domestic_germany;6.2
24;Rohstoffe;995;Darmstadt;Houston;2023-12-15;Klar;FALSE;8437.27;Luft;intercontinental;24.0
25;Elektronik;102;Manchester;Houston;2023-07-22;Regnerisch;FALSE;7587.85;Luft;intercontinental;28.1
26;Fertigprodukte;506;Melbourne;Dubai;2023-12-07;Sturm;FALSE;11665.13;Luft;intercontinental;48.3
27;Bauteile;698;Brasilia;Lyon;2023-10-22;Regnerisch;TRUE;8650.69;Luft;intercontinental;29.5
28;Rohstoffe;204;Guangzhou;Hannover;2023-03-22;Schnee;FALSE;8855.77;Luft;intercontinental;45.6
29;Chemikalien;578;Chicago;Aachen;2023-03-08;Regnerisch;FALSE;6769.57;Luft;intercontinental;23.2
30;Fertigprodukte;109;Heidelberg;Wuppertal;2023-05-01;Regnerisch;FALSE;232.79;Straße;domestic_germany;1.5
31;Rohstoffe;260;Chemnitz;Osnabrück;2023-09-29;Klar;FALSE;372.84;Luft;domestic_germany;7.6
32;Elektronik;658;Osnabrück;Hamburg;2023-05-01;Sturm;FALSE;192.32;Schiene;domestic_germany;6.1
33;Bauteile;471;Lyon;Münster;2023-02-06;Klar;FALSE;718.63;Schiene;intra_european;4.8
34;Rohstoffe;435;Lübeck;München;2023-09-03;Schnee;FALSE;640.25;Luft;domestic_germany;2.1
35;Elektronik;496;Bielefeld;London;2023-07-20;Sturm;TRUE;598.51;Schiene;intra_european;10.6
36;Elektronik;88;Osnabrück;Lübeck;2023-05-30;Klar;FALSE;249.26;Luft;domestic_germany;1.6
37;Elektronik;771;Kiel;Lübeck;2023-01-18;Sturm;FALSE;62.79;Straße;domestic_germany;2.6
38;Bauteile;944;Bielefeld;Houston;2023-08-27;Schnee;FALSE;8312.77;Luft;intercontinental;38.5
39;Rohstoffe;139;Sydney;Rio de Janeiro;2023-08-19;Sturm;TRUE;13521.03;Luft;intercontinental;78.5
40;Elektronik;494;Los Angeles;Beijing;2023-11-06;Regnerisch;FALSE;10061.74;Luft;intercontinental;36.0
41;Bauteile;303;Hannover;London;2023-08-02;Nebel;FALSE;682.18;Schiene;intra_european;4.3
42;Fertigprodukte;642;Tokyo;Köln;2023-04-13;Nebel;FALSE;9332.56;Luft;intercontinental;30.5
